id,cat,truth_refuse,gold_bind,pred_bind,mus,min_mcs
e0067,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{cost_per_kg<=7,k_mean>=69.1175}",{cost_per_kg<=7};{k_mean>=69.1175}
e0068,boundary_joint,True,k_mean;tmax,k_mean;tmax,"{k_mean>=80.0102,tmax>=1200}",{k_mean>=80.0102};{tmax>=1200}
e0069,boundary_joint,True,k_mean;tmax,k_mean;tmax,"{k_mean>=80.0102,tmax>=1200}",{k_mean>=80.0102};{tmax>=1200}
e0070,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{cost_per_kg<=7,tmax>=900}",{cost_per_kg<=7};{tmax>=900}
e0071,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{cost_per_kg<=7,tmax>=900}",{cost_per_kg<=7};{tmax>=900}
e0072,boundary_joint,True,k_mean;tmax,k_mean;tmax,"{k_mean>=47.6624,tmax>=1500}",{k_mean>=47.6624};{tmax>=1500}
e0073,boundary_joint,True,k_mean;tmax,k_mean;tmax,"{k_mean>=47.6624,tmax>=1500}",{k_mean>=47.6624};{tmax>=1500}
e0074,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{cost_per_kg<=3,k_mean>=90.1169}",{cost_per_kg<=3};{k_mean>=90.1169}
e0075,boundary_joint,True,cost_per_kg;k_mean,cost_per_kg;k_mean,"{cost_per_kg<=3,k_mean>=90.1169}",{cost_per_kg<=3};{k_mean>=90.1169}
e0076,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=1200,cost_per_kg<=4}",{tmax>=1200};{cost_per_kg<=4}
e0077,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=1200,cost_per_kg<=4}",{tmax>=1200};{cost_per_kg<=4}
e0078,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=600,cost_per_kg<=4}",{tmax>=600};{cost_per_kg<=4}
e0079,boundary_joint,True,cost_per_kg;tmax,cost_per_kg;tmax,"{tmax>=600,cost_per_kg<=4}",{tmax>=600};{cost_per_kg<=4}
